gender,genderLooking,age,agecode,counts_pictures,counts_profileVisits,counts_kisses,counts_fans,flirtInterests_chat,flirtInterests_friends,flirtInterests_date
Female,Male,26,over21,0,19,0,0,true,false,false
Female,None,21,under21,4,9745,588,0,false,false,true
Female,Male,24,over21,7,2555,57,0,true,true,false
Female,Male,21,under21,2,1813,25,1,true,false,false
Female,Male,21,under21,4,9809,309,1,false,false,false
Female,Male,23,over21,12,11556,386,2,true,true,true
Female,Male,22,over21,6,1997,81,0,false,false,true
Female,Male,19,under21,12,8182,377,0,true,true,true
Female,Male,23,over21,6,3844,118,0,false,true,false
Female,Male,21,under21,14,2786,56,0,true,true,true
Female,None,19,under21,11,10433,312,0,true,true,true
Female,Male,22,over21,5,940,14,0,true,true,false
Female,Male,25,over21,4,4161,133,0,true,false,false
Female,Male,19,under21,1,7475,186,0,true,true,false
Female,Male,24,over21,8,2637,67,1,true,true,true
Female,Male,22,over21,4,5560,86,0,true,true,true
Female,Male,19,under21,4,10293,371,51,false,true,true
Female,Male,25,over21,9,12238,264,0,false,false,false
Female,Male,20,under21,5,4962,177,2,false,true,false
Female,Male,19,under21,4,1375,35,0,true,true,true
Female,Male,21,under21,2,6862,389,0,true,true,true
Female,Male,24,over21,2,2166,57,0,false,true,false
Female,Male,24,over21,5,6210,454,0,true,true,true
Female,Male,23,over21,6,6245,222,1,true,true,false
Female,Male,26,over21,5,8563,290,0,false,false,false
Female,Male,21,under21,7,10601,377,0,true,false,false
Female,None,23,over21,4,4563,68,0,false,true,true
Female,Male,25,over21,3,5646,248,1,false,false,true
Female,Male,19,under21,5,7319,263,0,false,false,false
Female,Male,20,under21,4,6385,356,23,true,true,true
Female,Male,22,over21,10,9242,143,1,true,true,false
Female,Male,21,under21,9,2721,50,0,false,true,true
Female,Male,19,under21,16,10034,645,0,true,true,true
Female,Male,21,under21,0,288,15,0,true,true,false
Female,Male,23,over21,1,1966,67,0,true,true,false
Female,None,22,over21,2,8414,543,3,true,true,true
Female,Male,22,over21,2,4192,100,51,false,true,false
Female,Male,21,under21,9,701,5,0,true,true,false
Female,Male,24,over21,5,3042,31,0,true,true,true
Female,Male,21,under21,3,3582,256,1,true,true,true
Female,Male,22,over21,3,1531,29,0,true,true,false
Female,Male,25,over21,7,6978,203,0,true,true,false
Female,Male,19,under21,11,9429,436,0,true,true,false
Female,Male,23,over21,5,4395,132,0,true,true,true
